id,nama
39,Bawang Merah / kg
49,Bawang Putih / kg
4,Beras Medium / kg
2,Beras Premium / kg
73,Besi Beton 10 mm (12/9m) / Btg
74,Besi Beton 12 mm (12/9m) / Btg
71,Besi Beton 6 mm (12/9m) / Btg
72,Besi Beton 8 mm (12/9m) / Btg
48,Buncis / kg
38,Cabe Merah Besar / kg
37,Cabe Merah Keriting / kg
50,Cabe Rawit Merah / kg
14,Daging Ayam Kampung / ekor
13,Daging Ayam Ras / kg
12,Daging Sapi Paha Belakang / kg
27,Garam Beryodium  Bata / buah
28,Garam Beryodium Halus / kg
82,GAS ELPIGI 3 Kg
7,Gula Kristal Putih / kg
40,Ikan Asin Teri / kg
58,Ikan Bandeng / kg
62,Ikan Cakalang / kg
59,Ikan Kembung / kg
60,Ikan Tongkol / kg
61,Ikan Tuna / kg
35,Indomie Rasa Kari Ayam / bungkus
25,Jagung Pipilan Kering / kg
41,Kacang Hijau / kg
32,Kacang Kedelai Impor / kg
33,Kacang Kedelai Lokal / kg
42,Kacang Tanah / kg
67,KAYU BALOK MERANTI (4 X 10)
45,Kentang / kg
43,Ketela Pohon / kg
44,Kol/kubis (/kg)
10,Minyak Goreng Curah / kg
92,Minyak Goreng Kemasan Premium / liter
95,Minyak Goreng Kemasan Sederhana / liter
96,Minyak Goreng MINYAKITA / liter
81,Paku Ukuran 10Cm /Kg
76,Paku Ukuran 2 Cm /Kg
77,Paku Ukuran 3Cm/Kg
78,Paku Ukuran 4Cm/Kg
79,Paku Ukuran 5Cm/Kg
80,Paku Ukuran 7Cm/Kg
68,Papan Meranti (4m X 3cm X 20mm)
84,Pupuk KCL  Non Subsidi / Kg
85,Pupuk NPK Non Subsidi / Kg
86,Pupuk SP 35 Non Subsidi / Kg
87,Pupuk Urea Non Subsidi / Kg
88,Pupuk ZA Non Subsidi / Kg
91,Semen Bosowa / 40Kg
93,Semen Dynamix / 40 Kg
54,Semen Gresik / 40 Kg
89,Semen Padang / 40Kg
55,Semen Tiga Roda / 40 Kg
90,Semen Tonasa / 40Kg
23,Susu Bubuk Merk Bendera (Instant) / (400 gr/dos)
24,Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos)
20,Susu Kental Manis Merk Bendera (370 gr/kl)
21,Susu Kental Manis Merk Indomilk (370 gr/kl)
17,Telur Ayam Kampung / kg
16,Telur Ayam Ras / kg
30,Tepung Terigu / kg
46,Tomat / kg
69,Triplek (6mm)/ lembar
47,Wortel / kg
