tanggal,kab_kota,pasar,komoditas_id,komoditas_nama,harga
2025-12-25,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-30,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-31,Kota Surabaya,Pasar Genteng,16,Telur Ayam Ras / kg,30000
2025-12-25,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-30,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-31,Kota Surabaya,Pasar Keputran,16,Telur Ayam Ras / kg,30000
2025-12-25,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-27,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-28,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-29,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-30,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-31,Kota Surabaya,Pasar Pucang Anom,16,Telur Ayam Ras / kg,32000
2025-12-25,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-26,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-27,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-28,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-29,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-30,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-31,Kota Surabaya,Pasar Soponyono,16,Telur Ayam Ras / kg,31000
2025-12-25,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-26,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-28,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-29,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-30,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-31,Kota Surabaya,Pasar Tambahrejo,16,Telur Ayam Ras / kg,29000
2025-12-25,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-26,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-27,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-28,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-29,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-30,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-31,Kota Surabaya,Pasar Wonokromo,16,Telur Ayam Ras / kg,31000
2025-12-25,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-30,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-31,Kota Malang,Pasar Besar,16,Telur Ayam Ras / kg,30000
2025-12-25,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-30,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-31,Kota Malang,Pasar Blimbing,16,Telur Ayam Ras / kg,30000
2025-12-25,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-26,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-27,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-28,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-29,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-30,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,29500
2025-12-31,Kota Malang,Pasar Dinoyo,16,Telur Ayam Ras / kg,28500
2025-12-25,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-26,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-27,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-28,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-29,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-30,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-31,Kota Malang,Pasar Klojen,16,Telur Ayam Ras / kg,29000
2025-12-25,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-30,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-31,Kota Malang,Pasar Oro-oro Dowo,16,Telur Ayam Ras / kg,30000
2025-12-25,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,30000
2025-12-27,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,30000
2025-12-28,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,30000
2025-12-29,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,29000
2025-12-30,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,29000
2025-12-31,Kota Malang,Pasar Tawangmangu,16,Telur Ayam Ras / kg,29000
2025-12-25,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,30000
2025-12-26,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-27,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-28,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-29,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-30,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-31,Kota Kediri,Pasar Bandar,16,Telur Ayam Ras / kg,29000
2025-12-25,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,29000
2025-12-26,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,28500
2025-12-27,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,28500
2025-12-28,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,28500
2025-12-29,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,28000
2025-12-30,Kota Kediri,Pasar Pahing,16,Telur Ayam Ras / kg,28000
