tanggal,kab_kota,pasar,komoditas_id,komoditas_nama,harga
2026-08-03,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-04,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-05,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-06,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-07,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-08,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-09,Kota Surabaya,Pasar Genteng,4,Beras Medium / kg,14000
2026-08-03,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-04,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-05,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-06,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-07,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-08,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-09,Kota Surabaya,Pasar Keputran,4,Beras Medium / kg,12000
2026-08-03,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-04,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-05,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-06,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-07,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-08,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-09,Kota Surabaya,Pasar Pucang Anom,4,Beras Medium / kg,13500
2026-08-03,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-04,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-05,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-06,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-07,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-08,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-09,Kota Surabaya,Pasar Soponyono,4,Beras Medium / kg,12000
2026-08-03,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-04,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-05,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-06,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-07,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-08,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-09,Kota Surabaya,Pasar Tambahrejo,4,Beras Medium / kg,12500
2026-08-03,Kota Surabaya,Pasar Wonokromo,4,Beras Medium / kg,12000
2026-08-04,Kota Surabaya,Pasar Wonokromo,4,Beras Medium / kg,12000
2026-08-05,Kota Surabaya,Pasar Wonokromo,4,Beras Medium / kg,12000
2026-08-06,Kota Surabaya,Pasar Wonokromo,4,Beras Medium / kg,12000
